Rating,Name,Rating Agency Name,Date,Sector,currentRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,grossProfitMargin,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
AA,Company 44,Rating agency 5,8/16/2005,Energy,-0.982587911,-0.413069232,0.18320168,0.123947391,1.529276088,3.079044321,0.102165997,0.974866864,0.088981132,0.072170526,2.755445799,-0.131820069,0.156309516,0.471467744,-0.205611992,1.289553003,-0.143555414,-1.777398613
BB,Company 135,Rating agency 3,4/28/2009,Basic Industries,0.492471372,0.024914466,-2.446369468,0.124924735,-1.186893554,1.196328184,1.206518981,0.862331411,0.080072986,0.103996824,0.276644998,0.111957101,0.611087438,0.112206892,-0.216228407,0.06090683,-0.524005532,0.973159179
CCC,Company 118,Rating agency 3,08/03/2010,Health Care,-0.255520877,-0.047429104,0.327136993,0.286143761,1.516029228,-0.460198479,1.632207283,0.604247828,-0.212955629,0.246679291,0.774470035,-8.470516219,0.614265229,-0.100491585,0.226873205,-0.62247636,-0.461765609,-1.777398613
BBB,Company 309,Rating agency 3,8/31/2010,Energy,-0.186549625,-1.634692601,-0.194735286,0.774031813,1.471747506,0.097437885,0.408928616,-0.432951544,-1.180515785,0.034808983,-0.147814773,-0.127960918,-1.136852112,-0.232759594,0.119288096,-0.194612226,0.2017936,-1.777398613
BBB,Company 56,Rating agency 3,9/30/2010,Miscellaneous,-0.46775429,-0.205578559,0.442422346,-0.107903543,-0.003091589,0.089891821,-0.022201642,0.024046769,0.955722852,-8.753538437,1.611095043,0.19669943,0.496810225,0.025636792,0.081716799,-0.113755977,-0.074605077,-1.701070073
BB,Company 96,Rating agency 3,11/03/2010,Technology,-0.307258281,-0.146178107,0.205911385,-0.340040977,-1.331413109,0.080496732,-0.324421138,1.318003598,0.739157881,0.17241733,0.596423499,0.132653835,-0.380470108,-0.136240121,-0.104487207,-0.454916064,-0.52790156,-0.029257963
BB,Company 437,Rating agency 3,11/19/2010,Basic Industries,2.044669799,1.657896982,1.421782005,2.93682395,1.529276088,2.539490384,-0.661646278,-0.465679768,0.293456731,-0.11422441,-3.227035373,-0.449745979,0.865654157,-0.15241816,-0.005342641,-0.8547841,-0.787782262,2.41034406
B,Company 586,Rating agency 3,12/17/2010,Consumer Services,-0.971446422,-1.140757798,1.492071209,1.229139799,0.417302082,0.279700555,0.019954178,-1.06705695,-1.178212289,-0.003528703,-0.966603005,0.090356624,0.188374607,-0.125565111,0.135574946,-0.682212445,0.236332118,-1.23464753
BBB,Company 126,Rating agency 3,12/20/2010,Basic Industries,1.543706448,1.159038948,0.490013656,-0.40117578,-1.188121604,-0.627955021,-3.37842302,0.21367721,-0.275233072,0.058784804,0.013463386,0.289785679,0.235308622,-0.071342533,0.378548362,-0.355004428,-0.322683946,0.486433174
BBB,Company 198,Rating agency 3,12/22/2010,Health Care,0.770830127,0.780608859,0.350353061,0.708492275,1.228132003,0.790478908,0.134962979,-0.070507958,-0.021990948,-0.064848334,-2.220785164,0.100026222,0.507122444,6.01641311,-0.248014968,6.219973238,0.393277734,-0.509738461
A,Company 220,Rating agency 3,12/23/2010,Consumer Services,-0.569795455,-0.01963034,0.468138117,0.181473576,1.481962669,0.29908369,-0.35551539,-0.131166784,-0.21252219,-0.03449019,-1.3075292,0.183749773,0.293552142,-0.042742694,0.034821023,-0.252488012,-0.090405029,-1.777398613
B,Company 296,Rating agency 3,1/13/2011,Transportation,0.198432501,1.155496984,0.230150852,0.87809029,-0.214318996,-0.051854963,-0.064904312,-1.322576878,-1.595517149,0.100015073,0.064518931,-0.129355553,-4.048940376,-6.399551167,-0.030230004,0.835260761,0.21554259,0.445386311
A,Company 70,Rating agency 3,1/25/2011,Technology,0.169830259,-0.653241179,0.527013405,-0.026893916,-0.649760708,0.02754546,-0.152057022,0.264667039,0.409444969,0.01792244,-0.384551125,-0.047983441,0.304398071,-0.030489655,0.110070402,-0.210300683,-0.325087439,0.331233385
BBB,Company 310,Rating agency 3,1/28/2011,Energy,-0.560104627,-0.541292959,0.910846645,0.070526169,-0.905613748,0.198605819,-0.130736944,0.024951258,-0.748884877,0.019302014,-0.33097996,0.017343425,-0.282106146,-0.119616874,0.017066607,-0.252890489,0.00647124,-0.557665698
B,Company 446,Rating agency 3,2/16/2011,Consumer Services,0.553105465,1.239973181,0.102312645,-0.445298591,1.500351296,-0.664574893,-0.022201642,0.128968919,-1.398030286,0.030877831,-0.185022821,-2.802053807,-0.155296568,-0.124041374,-0.005992179,-0.516925405,0.191620986,-1.777398613
BBB,Company 68,Rating agency 3,03/03/2011,Energy,-0.443578776,0.127513809,0.867015647,-0.287050423,-0.255058288,-0.580763966,-2.246084595,-0.591700691,-1.11011028,0.001832807,-0.50393484,-0.405635859,-0.271831217,-0.115508153,0.10725432,-0.197659256,0.170126753,0.329412276
BB,Company 270,Rating agency 3,3/15/2011,Public Utilities,-1.257988317,0.424973656,0.238475533,1.206553752,0.927900237,1.912917721,1.147977664,-0.144529469,-0.765408299,0.067051576,0.097303591,0.082553337,0.316289834,3.698061438,-0.224132544,4.007242172,0.992160507,-1.065839279
BBB,Company 186,Rating agency 3,3/18/2011,Energy,-0.378576922,0.391352732,0.286444954,0.793575909,-0.321985671,1.748702073,0.803045581,0.243935343,-0.456978677,-0.023303106,-0.962034696,0.163332651,-0.13445819,2.027829548,-0.234129773,3.716817793,0.417601914,0.043537856
A,Company 67,Rating agency 3,3/24/2011,Public Utilities,-0.783914568,-1.84734761,0.35541774,-0.021579466,1.503065267,-0.342467622,-0.478113158,-0.581098982,-1.131013486,0.145289772,0.493129016,0.081930642,-0.513125244,-0.153596083,0.013068943,0.033815651,-0.010150003,0.351734165
BB,Company 460,Rating agency 3,3/24/2011,Capital Goods,0.784338002,0.507174276,0.655503224,-0.369962509,-0.878400341,-0.571418503,-2.529217056,0.176631657,0.213438663,0.029179009,-0.226119258,0.136183599,0.116123762,-0.110918125,0.036762177,-0.545503075,-0.421339448,0.122023759
BBB,Company 261,Rating agency 3,3/29/2011,Energy,-0.426029551,0.67198743,0.307658924,2.593473942,1.529169093,0.378893308,0.535029817,-0.786868448,-1.155368821,-0.043837184,-1.421977237,0.164010855,-0.684346446,-0.245560538,-0.015708494,0.518761785,0.878949372,-1.777398613
A,Company 247,Rating agency 3,3/30/2011,Consumer Non-Durables,-0.588473384,0.28820139,0.238757623,0.218880873,0.090293272,0.640994103,0.779017342,0.338800455,0.022134737,0.099649491,0.309452124,0.064419981,0.227269665,-0.003995801,0.115039583,-0.040794754,-0.169659842,-0.515648588
BBB,Company 100,Rating agency 3,04/04/2011,Public Utilities,-1.476699799,-0.600305333,0.506603615,0.291726621,-0.347249724,0.358242602,0.427218481,-0.244046818,-0.696441753,0.127929164,0.410663271,0.062335933,-0.095078268,-0.06566446,-0.055661,-0.002142115,0.111124242,-0.410607269
BBB,Company 337,Rating agency 3,04/07/2011,Consumer Services,-0.938527497,0.300291007,0.170577015,0.318986882,0.860585817,0.430036292,0.090964579,-0.230789401,0.925513514,0.031415649,-0.221603077,0.134569219,0.419812454,6.01641311,-0.212357575,5.812122424,0.086321977,-0.164678443
B,Company 381,Rating agency 3,04/08/2011,Capital Goods,0.630360972,0.416562057,0.481237898,-0.350506125,-1.177307581,-0.448694394,-0.022201642,1.299071268,0.800648288,-8.753538437,1.581934765,-0.488454578,0.021330471,-0.129644698,0.318760743,-0.677578025,-0.536032572,0.539844298
B,Company 94,Rating agency 3,04/08/2011,Energy,-1.310268456,-1.771757766,0.700492839,0.708892657,1.524932602,0.079428381,-0.253823934,-0.974825936,-1.523784604,0.026409045,-0.25583938,0.192805488,-0.910283209,-0.273196194,-0.020252085,0.218738379,0.870354083,-1.777398613
BBB,Company 91,Rating agency 3,04/11/2011,Energy,-0.211375297,-3.525667866,3.050910185,5.191175032,1.518990654,-0.203067126,-0.735597096,-5.207600338,-3.439338404,0.014854877,-0.358668836,0.172852269,-1.213108253,-0.285018219,-0.005745667,-0.027801872,8.266179045,-1.777398613
A,Company 92,Rating agency 3,4/27/2011,Consumer Services,0.09974867,-1.161544528,-2.446369468,-0.199866516,-0.566328647,0.310783232,0.121341003,0.929372994,-0.084535872,0.072030881,0.127842575,0.174360114,0.324254426,0.082201138,0.019896479,0.197022015,-0.339092893,0.323656857
BB,Company 190,Rating agency 3,4/27/2011,Consumer Non-Durables,0.048935795,-1.07912891,-0.14641645,-0.123314652,-1.390263102,0.914031625,0.297664587,1.126390547,0.696601204,-0.001762189,-0.577808604,0.06326383,1.013698133,-1.889342359,-0.134189841,-2.463162021,-0.822685368,0.839519227
