returnOnCapitalEmployed,operatingCashFlowPerShare,netProfitMargin,debtRatio,operatingCashFlowSalesRatio,effectiveTaxRate,currentRatio,freeCashFlowPerShare,cashRatio,fixedAssetTurnover,freeCashFlowOperatingCashFlowRatio,enterpriseValueMultiple,grossProfitMargin,debtEquityRatio,assetTurnover,payablesTurnover,daysOfSalesOutstanding,returnOnEquity,Day,Name,Month,Year,Agency_Rating agency 3,Rating
3.079044321,1.289553003,0.123947391,2.755445799,-0.143555414,-0.131820069,-0.982587911,0.471467744,-0.413069232,0.088981132,0.156309516,-0.205611992,1.529276088,0.072170526,0.974866864,-1.777398613,0.18320168,0.102165997,16.0,0.0009965122072745,8.0,2005.0,False,1.0
1.196328184,0.06090683,0.124924735,0.276644998,-0.524005532,0.111957101,0.492471372,0.112206892,0.024914466,0.080072986,0.611087438,-0.216228407,-1.186893554,0.103996824,0.862331411,0.973159179,-2.446369468,1.206518981,28.0,0.0034877927254608,4.0,2009.0,True,4.0
-0.460198479,-0.62247636,0.286143761,0.774470035,-0.461765609,-8.470516219,-0.255520877,-0.100491585,-0.047429104,-0.212955629,0.614265229,0.226873205,1.516029228,0.246679291,0.604247828,-1.777398613,0.327136993,1.632207283,3.0,0.0034877927254608,8.0,2010.0,True,8.0
0.097437885,-0.194612226,0.774031813,-0.147814773,0.2017936,-0.127960918,-0.186549625,-0.232759594,-1.634692601,-1.180515785,-1.136852112,0.119288096,1.471747506,0.034808983,-0.432951544,-1.777398613,-0.194735286,0.408928616,31.0,0.0034877927254608,8.0,2010.0,True,5.0
0.089891821,-0.113755977,-0.107903543,1.611095043,-0.074605077,0.19669943,-0.46775429,0.025636792,-0.205578559,0.955722852,0.496810225,0.081716799,-0.003091589,-8.753538437,0.024046769,-1.701070073,0.442422346,-0.022201642,30.0,0.0034877927254608,9.0,2010.0,True,5.0
0.080496732,-0.454916064,-0.340040977,0.596423499,-0.52790156,0.132653835,-0.307258281,-0.136240121,-0.146178107,0.739157881,-0.380470108,-0.104487207,-1.331413109,0.17241733,1.318003598,-0.029257963,0.205911385,-0.324421138,3.0,0.0034877927254608,11.0,2010.0,True,4.0
2.539490384,-0.8547841,2.93682395,-3.227035373,-0.787782262,-0.449745979,2.044669799,-0.15241816,1.657896982,0.293456731,0.865654157,-0.005342641,1.529276088,-0.11422441,-0.465679768,2.41034406,1.421782005,-0.661646278,19.0,0.0034877927254608,11.0,2010.0,True,4.0
0.279700555,-0.682212445,1.229139799,-0.966603005,0.236332118,0.090356624,-0.971446422,-0.125565111,-1.140757798,-1.178212289,0.188374607,0.135574946,0.417302082,-0.003528703,-1.06705695,-1.23464753,1.492071209,0.019954178,17.0,0.0004982561036372,12.0,2010.0,True,3.0
-0.627955021,-0.355004428,-0.40117578,0.013463386,-0.322683946,0.289785679,1.543706448,-0.071342533,1.159038948,-0.275233072,0.235308622,0.378548362,-1.188121604,0.058784804,0.21367721,0.486433174,0.490013656,-3.37842302,20.0,0.0034877927254608,12.0,2010.0,True,5.0
0.790478908,6.219973238,0.708492275,-2.220785164,0.393277734,0.100026222,0.770830127,6.01641311,0.780608859,-0.021990948,0.507122444,-0.248014968,1.228132003,-0.064848334,-0.070507958,-0.509738461,0.350353061,0.134962979,22.0,0.0029895366218236,12.0,2010.0,True,5.0
