returnOnCapitalEmployed,operatingCashFlowPerShare,netProfitMargin,debtRatio,operatingCashFlowSalesRatio,effectiveTaxRate,currentRatio,freeCashFlowPerShare,cashRatio,fixedAssetTurnover,freeCashFlowOperatingCashFlowRatio,enterpriseValueMultiple,grossProfitMargin,debtEquityRatio,assetTurnover,payablesTurnover,daysOfSalesOutstanding,returnOnEquity,Day,Name,Month,Year,Agency_Rating agency 3,Rating,ROCE_NetProfitMargin,NetProfitMargin_OpCashFlow,CashRatio_OpCashFlow,CashRatio_NetProfitMargin,DebtRatio_ROCE,DebtRatio_OpCashFlow
3.079044321,1.289553003,0.123947391,2.755445799,-0.143555414,-0.131820069,-0.982587911,0.471467744,-0.413069232,0.088981132,0.156309516,-0.205611992,1.529276088,0.072170526,0.974866864,-1.777398613,0.18320168,0.102165997,16,0.000996512,8,2005,FALSE,1,0.38163951,0.15983673,-0.532674669,-0.051198854,8.484139739,3.553293405
1.196328184,0.06090683,0.124924735,0.276644998,-0.524005532,0.111957101,0.492471372,0.112206892,0.024914466,0.080072986,0.611087438,-0.216228407,-1.186893554,0.103996824,0.862331411,0.973159179,-2.446369468,1.206518981,28,0.003487793,4,2009,TRUE,4,0.149450981,0.00760877,0.001517461,0.003112433,0.330958208,0.01684957
-0.460198479,-0.62247636,0.286143761,0.774470035,-0.461765609,-8.470516219,-0.255520877,-0.100491585,-0.047429104,-0.212955629,0.614265229,0.226873205,1.516029228,0.246679291,0.604247828,-1.777398613,0.327136993,1.632207283,3,0.003487793,8,2010,TRUE,8,-0.131682924,-0.178117727,0.029523496,-0.013571542,-0.356409932,-0.482089288
0.097437885,-0.194612226,0.774031813,-0.147814773,0.2017936,-0.127960918,-0.186549625,-0.232759594,-1.634692601,-1.180515785,-1.136852112,0.119288096,1.471747506,0.034808983,-0.432951544,-1.777398613,-0.194735286,0.408928616,31,0.003487793,8,2010,TRUE,5,0.075420023,-0.150636054,0.318131166,-1.265304078,-0.014402759,0.028766562
0.089891821,-0.113755977,-0.107903543,1.611095043,-0.074605077,0.19669943,-0.46775429,0.025636792,-0.205578559,0.955722852,0.496810225,0.081716799,-0.003091589,-8.753538437,0.024046769,-1.701070073,0.442422346,-0.022201642,30,0.003487793,9,2010,TRUE,5,-0.009699646,0.012274673,0.02338579,0.022182655,0.144824267,-0.183271691
0.080496732,-0.454916064,-0.340040977,0.596423499,-0.52790156,0.132653835,-0.307258281,-0.136240121,-0.146178107,0.739157881,-0.380470108,-0.104487207,-1.331413109,0.17241733,1.318003598,-0.029257963,0.205911385,-0.324421138,3,0.003487793,11,2010,TRUE,4,-0.027372187,0.154690103,0.066498769,0.049706546,0.048010143,-0.271322631
2.539490384,-0.8547841,2.93682395,-3.227035373,-0.787782262,-0.449745979,2.044669799,-0.15241816,1.657896982,0.293456731,0.865654157,-0.005342641,1.529276088,-0.11422441,-0.465679768,2.41034406,1.421782005,-0.661646278,19,0.003487793,11,2010,TRUE,4,7.458036181,-2.510350417,-1.41714398,4.868951563,-8.195025299,2.758418527
0.279700555,-0.682212445,1.229139799,-0.966603005,0.236332118,0.090356624,-0.971446422,-0.125565111,-1.140757798,-1.178212289,0.188374607,0.135574946,0.417302082,-0.003528703,-1.06705695,-1.23464753,1.492071209,0.019954178,17,0.000498256,12,2010,TRUE,3,0.343791084,-0.838534468,0.778239167,-1.402150811,-0.270359397,0.659428599
-0.627955021,-0.355004428,-0.40117578,0.013463386,-0.322683946,0.289785679,1.543706448,-0.071342533,1.159038948,-0.275233072,0.235308622,0.378548362,-1.188121604,0.058784804,0.21367721,0.486433174,0.490013656,-3.37842302,20,0.003487793,12,2010,TRUE,5,0.251920345,0.142419178,-0.411463959,-0.464978354,-0.008454401,-0.004779562
0.790478908,6.219973238,0.708492275,-2.220785164,0.393277734,0.100026222,0.770830127,6.01641311,0.780608859,-0.021990948,0.507122444,-0.248014968,1.228132003,-0.064848334,-0.070507958,-0.509738461,0.350353061,0.134962979,22,0.002989537,12,2010,TRUE,5,0.5600482,4.40680299,4.855366212,0.553055346,-1.755483831,-13.81322429
